Iter,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
141,12.03,11.61,9.57,10.754999999999999,13.065000000000001,11.879999999999999,11.865,12.690000000000001,14.16,15.135,17.88,18.419999999999998
142,12.075000000000001,11.64,10.065,11.265,13.335,11.49,11.61,13.71,15.044999999999998,14.73,17.384999999999998,19.095
143,11.535,11.805,8.52,10.5,14.16,11.715,11.535,12.585,14.024999999999999,14.76,17.265,18.855
144,11.28,11.129999999999999,9.645,11.97,14.399999999999999,11.52,11.175,13.440000000000001,13.649999999999999,15.225000000000001,17.294999999999998,19.424999999999997
145,11.55,11.205,10.14,11.370000000000001,12.51,12.135,11.774999999999999,13.98,14.25,15.51,17.009999999999998,20.22
146,13.32,11.16,9.149999999999999,10.575,13.98,11.475000000000001,10.98,13.245000000000001,14.174999999999999,15.24,17.1,19.53
147,12.765,10.455,9.315,10.935,15.24,11.325,12.66,13.365,14.190000000000001,14.924999999999999,18.21,18.18
148,11.399999999999999,11.295,10.455,11.7,13.635,11.58,12.105,13.845,13.26,15.57,17.25,17.46
149,12.059999999999999,11.235,8.49,10.379999999999999,13.125,11.715,12.285,12.735,13.89,14.79,18.165,18.945
150,11.865,11.370000000000001,9.78,11.31,13.649999999999999,12.645,11.97,12.345,14.145,15.03,16.695,18.195
151,11.655,11.445,10.05,10.709999999999999,14.46,11.834999999999999,12.51,11.295,15.075000000000001,16.395,17.745,19.185
152,11.955,11.07,9.225000000000001,10.17,13.41,11.34,11.475000000000001,13.14,13.125,15.21,19.41,18.0
153,12.059999999999999,10.575,9.315,11.024999999999999,14.415,11.61,11.790000000000001,11.94,13.02,15.21,18.36,19.815
154,13.274999999999999,11.25,9.69,11.115,13.98,12.465,11.97,13.47,14.34,14.91,18.615000000000002,16.605
155,12.345,11.295,9.795,10.455,13.47,10.77,12.21,11.385,14.715,15.495000000000001,19.02,18.645
156,12.330000000000002,10.23,9.27,10.725000000000001,14.385,11.595,12.09,13.184999999999999,13.665,14.115,17.415,17.865000000000002
157,12.21,11.865,9.225000000000001,10.575,14.100000000000001,12.36,11.64,11.879999999999999,13.379999999999999,14.940000000000001,17.325000000000003,19.86
158,12.765,12.285,9.945,11.31,14.309999999999999,12.135,11.52,13.23,14.43,14.955000000000002,18.54,18.225
159,11.67,11.475000000000001,9.57,10.41,14.129999999999999,10.965,12.075000000000001,13.065000000000001,14.265,15.419999999999998,17.04,17.94
160,11.73,11.655,8.955,10.545,14.64,11.94,11.595,12.149999999999999,14.895,14.46,17.325000000000003,18.6
161,11.91,11.43,9.254999999999999,10.905,13.905,10.92,11.31,13.245000000000001,13.245000000000001,15.21,18.450000000000003,19.935
162,12.615,10.77,9.78,11.385,13.605,11.655,11.295,13.455000000000002,14.805,14.385,18.75,17.700000000000003
163,11.850000000000001,12.18,8.82,10.8,13.785,12.39,11.7,12.105,13.41,14.595,18.15,19.125
164,11.235,10.649999999999999,9.975000000000001,10.74,14.700000000000001,11.565,11.16,12.945,13.155,15.705000000000002,17.745,19.215
165,12.225000000000001,11.76,9.495000000000001,11.265,13.155,12.015,11.985,13.335,13.754999999999999,15.465,16.919999999999998,19.155
166,12.48,10.905,9.81,11.715,14.549999999999999,12.044999999999998,10.875,12.78,14.115,14.43,18.285,18.195
167,11.28,10.725000000000001,10.2,11.024999999999999,13.86,12.120000000000001,12.18,13.14,12.78,13.544999999999998,17.46,19.62
168,12.285,12.450000000000001,9.27,10.41,13.815000000000001,12.149999999999999,11.850000000000001,13.875,15.149999999999999,14.700000000000001,16.56,20.745
169,12.36,11.31,9.36,11.145,14.01,11.61,12.645,12.405,13.544999999999998,13.335,18.105,17.685
170,12.015,10.274999999999999,9.899999999999999,12.27,13.515,11.985,11.145,13.605,14.745000000000001,14.879999999999999,18.165,20.174999999999997
